feature_name,leakage_risk,safe_before_first_pitch,exclusion_reason,source_file,explanation,recommended_fix
away_lineup_barrel_rate_weighted,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
away_lineup_barrel_rate_top5,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
lineup_features_missing,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
home_lineup_xwoba_vs_sp,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_lineup_matchup_features; src/data/statcast.py::aggregate_game_lineups,"The training join derives actual lineups from plate appearances and starter handedness from same-game pitches. That uses information produced by the game being predicted, even though BvP history itself is as-of filtered.","Replace training source with pregame lineup snapshots and probable starter hand from schedule data, or remove these features until audited pregame snapshots exist."
away_lineup_xwoba_vs_sp,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_lineup_matchup_features; src/data/statcast.py::aggregate_game_lineups,"The training join derives actual lineups from plate appearances and starter handedness from same-game pitches. That uses information produced by the game being predicted, even though BvP history itself is as-of filtered.","Replace training source with pregame lineup snapshots and probable starter hand from schedule data, or remove these features until audited pregame snapshots exist."
home_bvp_xwoba,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_lineup_matchup_features; src/data/statcast.py::aggregate_game_lineups,"The training join derives actual lineups from plate appearances and starter handedness from same-game pitches. That uses information produced by the game being predicted, even though BvP history itself is as-of filtered.","Replace training source with pregame lineup snapshots and probable starter hand from schedule data, or remove these features until audited pregame snapshots exist."
away_bvp_xwoba,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_lineup_matchup_features; src/data/statcast.py::aggregate_game_lineups,"The training join derives actual lineups from plate appearances and starter handedness from same-game pitches. That uses information produced by the game being predicted, even though BvP history itself is as-of filtered.","Replace training source with pregame lineup snapshots and probable starter hand from schedule data, or remove these features until audited pregame snapshots exist."
home_sp_rv_per_100,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
home_sp_xwoba_arsenal,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
home_sp_whiff_arsenal,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
away_sp_rv_per_100,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
away_sp_xwoba_arsenal,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
away_sp_whiff_arsenal,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
home_bp_rv_per_100_weighted,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
home_bp_xwoba_arsenal_weighted,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
home_bp_whiff_arsenal_weighted,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
away_bp_rv_per_100_weighted,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
away_bp_xwoba_arsenal_weighted,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
away_bp_whiff_arsenal_weighted,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
home_sp_pitch_quality_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
away_sp_pitch_quality_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
home_bp_pitch_quality_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
away_bp_pitch_quality_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
home_lineup_xwoba_vs_sp_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_lineup_matchup_features; src/data/statcast.py::aggregate_game_lineups,"The training join derives actual lineups from plate appearances and starter handedness from same-game pitches. That uses information produced by the game being predicted, even though BvP history itself is as-of filtered.","Replace training source with pregame lineup snapshots and probable starter hand from schedule data, or remove these features until audited pregame snapshots exist."
away_lineup_xwoba_vs_sp_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_lineup_matchup_features; src/data/statcast.py::aggregate_game_lineups,"The training join derives actual lineups from plate appearances and starter handedness from same-game pitches. That uses information produced by the game being predicted, even though BvP history itself is as-of filtered.","Replace training source with pregame lineup snapshots and probable starter hand from schedule data, or remove these features until audited pregame snapshots exist."
home_lineup_xwoba_vs_hand_L30_missing,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
away_lineup_xwoba_vs_hand_L30_missing,Possible leakage,no,leakage_risk=Possible leakage,src/features/build.py::join_posted_lineup_features; src/features/build.py::build_posted_lineup_prediction_features; src/data/lineups.py,"Live prediction allows missing lineups and falls back when not confirmed. Training fetches historical lineups after the fact, so the source timing is not proven pre-first-pitch and may encode actual lineup information that was unavailable for some games at prediction time.","Store immutable pregame lineup snapshots with fetch timestamp, train from those snapshots, and keep a separate no-lineup fallback path."
home_bvp_xwoba_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_lineup_matchup_features; src/data/statcast.py::aggregate_game_lineups,"The training join derives actual lineups from plate appearances and starter handedness from same-game pitches. That uses information produced by the game being predicted, even though BvP history itself is as-of filtered.","Replace training source with pregame lineup snapshots and probable starter hand from schedule data, or remove these features until audited pregame snapshots exist."
away_bvp_xwoba_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_lineup_matchup_features; src/data/statcast.py::aggregate_game_lineups,"The training join derives actual lineups from plate appearances and starter handedness from same-game pitches. That uses information produced by the game being predicted, even though BvP history itself is as-of filtered.","Replace training source with pregame lineup snapshots and probable starter hand from schedule data, or remove these features until audited pregame snapshots exist."
home_sp_rv_per_100_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
away_sp_rv_per_100_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
home_bp_rv_per_100_weighted_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
away_bp_rv_per_100_weighted_missing,Definite leakage,no,leakage_risk=Definite leakage,src/features/build.py::join_pitch_quality_features; src/features/build.py::build_pitch_quality_prediction_features; src/data/pitch_quality.py::fetch_pitch_quality,"The training join calls fetch_pitch_quality(season) once per season and applies that season snapshot to every game, so early-season games can see future pitch-quality information. Live prediction also lacks a recorded as-of cutoff.","Cache pitch-quality snapshots by as_of date and join the latest snapshot strictly before first pitch, or use only prior-season pitch-quality features."
