feature_name,source_file,source_data,timestamp_available,safe_before_first_pitch,leakage_risk,explanation,recommended_fix
away_avg_runs_for_l20,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_avg_runs_against_l20,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
away_win_pct_l20,src/features/build.py::compute_team_rolling_features; src/features/build.py::_team_snapshot,data/processed/games final scores for prior team games,After prior games are final; prediction path filters game_date < target_date.,yes,Safe,Training uses groupby shift(1) rolling windows; prediction recomputes from prior games only using game_date < target date. Final scores are not used for the target game.,Keep the shift/filter guards and add a diagnostic max_source_game_date for each prediction slate.
home_sp_era_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_whip_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_k_per_9_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_bb_per_9_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_k_minus_bb_pct_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_hr_per_9_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_ip_per_start_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_era_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_whip_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_k_per_9_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_bb_per_9_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_k_minus_bb_pct_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_hr_per_9_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_ip_per_start_l3,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_era_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_whip_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_k_per_9_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_bb_per_9_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_k_minus_bb_pct_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_hr_per_9_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_ip_total_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_era_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_whip_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_k_per_9_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_bb_per_9_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_k_minus_bb_pct_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_hr_per_9_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_ip_total_std,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_days_rest,src/features/team.py::days_rest; src/features/build.py::_team_snapshot,data/processed/games schedule/results dates for prior team games,Known after prior game date; prediction path excludes target date.,yes,Safe,"Derived from the previous team game date. Prediction path is conservative and excludes all same-date games, including game 1 of a doubleheader for game 2.","If doubleheader game-2 accuracy matters, add first-pitch timestamps and include only games completed before that pitch time."
away_days_rest,src/features/team.py::days_rest; src/features/build.py::_team_snapshot,data/processed/games schedule/results dates for prior team games,Known after prior game date; prediction path excludes target date.,yes,Safe,"Derived from the previous team game date. Prediction path is conservative and excludes all same-date games, including game 1 of a doubleheader for game 2.","If doubleheader game-2 accuracy matters, add first-pitch timestamps and include only games completed before that pitch time."
home_sp_days_rest,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
away_sp_days_rest,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_season_starts_prior,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_recent_starts_l60d,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_short_history,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
home_sp_unknown,src/features/build.py::join_gamelog_pitcher_features; src/features/build.py::build_gamelog_pitcher_prediction_features; src/data/pitching_gamelogs.py,data/raw/pitching_gamelogs final starter logs from prior starts,After each prior start is final; prediction path filters pitcher game_date < target_date.,yes,Safe,Starter gamelog rolling and season-to-date stats use shift(1) in training and prior starts only in prediction. Missing/unknown flags are based on pregame probable-pitcher availability and prior history.,Keep target-date filtering and add a cache freshness field recording latest gamelog date used per pitcher.
